title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe Mercedes Benz C class C300 AMG	2022,1 Tỷ 679 Triệu,Quận 7 TP HCM,Xe đã dùng,2022,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,"6,900 Km",RFD - Dẫn động cầu sau,Trắng,Nhiều màu,4 cửa,5 chỗ
Xe VinFast VF3 Plus	2025,267 Triệu,"314 Lũy Bán Bích, Hòa Thạnh, Tân Phú TP HCM",Xe đã dùng,2025,Trong nước,Điện,Hatchback,Số tự động,"18,000 Km",RFD - Dẫn động cầu sau,Đỏ,Đen,3 cửa,4 chỗ
Xe Honda Civic E 1.8 AT	2019,498 Triệu,"314 Lũy Bán Bích, Hòa Thạnh, Tân Phú TP HCM",Xe đã dùng,2019,Nhập khẩu,Xăng 1.8 L,Sedan,Số tự động,"28,000 Km",FWD - Dẫn động cầu trước,Bạc,Đen,4 cửa,5 chỗ
Xe Mercedes Benz GLB 35 4Matic	2021,1 Tỷ 450 Triệu,Quận 7 TP HCM,Xe đã dùng,2021,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"52,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Đen,5 cửa,7 chỗ
Xe Ford Explorer Limited 2.3L EcoBoost	2021,1 Tỷ 650 Triệu,"900 Quốc lộ 1A, Phường Thạnh Xuân, Quận 12 TP HCM",Xe đã dùng,2021,Nhập khẩu,Xăng 2.3 L,SUV,Số tự động,"80,000 Km",AWD - 4 bánh toàn thời gian,Xanh,Đen,5 cửa,7 chỗ
Xe Mercedes Benz S class S450 Luxury	2021,3 Tỷ 899 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2021,Nhập khẩu,Xăng 3.0 L,Sedan,Số tự động,"46,000 Km",RFD - Dẫn động cầu sau,Đen,Kem,4 cửa,5 chỗ
Xe Lexus LM 500h	2025,8 Tỷ 999 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2025,Nhập khẩu,Hybrid 2.4 L,Van/Minivan,Số tự động,500 Km,AWD - 4 bánh toàn thời gian,Xám,Kem,5 cửa,6 chỗ
Xe Mercedes Benz C class C43 AMG 4Matic	2023,2 Tỷ 79 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2023,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"9,999 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,4 cửa,5 chỗ
Xe Porsche Macan 2.0	2022,3 Tỷ 179 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2022,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"21,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Kem,5 cửa,5 chỗ
Xe Audi A4 40 TFSI Advanced	2019,899 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2019,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,"25,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Porsche Taycan Turbo	2021,5 Tỷ 750 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2021,Nhập khẩu,Điện,Sedan,Số tự động,"22,000 Km",AWD - 4 bánh toàn thời gian,Đen,Đỏ,4 cửa,4 chỗ
Xe Mercedes Benz GLC 300 4Matic	2023,2 Tỷ 199 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2023,Trong nước,Hybrid 2.0 L,SUV,Số tự động,"24,000 Km",AWD - 4 bánh toàn thời gian,Đỏ,Đen,5 cửa,5 chỗ
Xe Jaguar F-Pace R-Sport	2016,1 Tỷ 234 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2016,Nhập khẩu,Xăng 3.0 L,SUV,Số tự động,"58,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nhiều màu,5 cửa,5 chỗ
Xe Bentley Flying Spur V8	2022,14 Tỷ 399 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2022,Nhập khẩu,Xăng 4.0 L,Sedan,Số tự động,"15,000 Km",RFD - Dẫn động cầu sau,Xanh,Kem,4 cửa,5 chỗ
Xe Mercedes Benz G class G63 AMG	2019,6 Tỷ 999 Triệu,Hà Nôi Hà Nội,Xe đã dùng,2019,Nhập khẩu,Xăng 4.0 L,SUV,Số tự động,"45,000 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Hyundai Kona Tiêu Chuẩn 2.0 AT	2021,499 Triệu,"Nghĩa Tân, Cầu Giấy Hà Nội",Xe đã dùng,2021,Trong nước,Xăng 2.0 L,SUV,Số tự động,"30,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Hyundai Creta Cao cấp 1.5 AT	2023,645 Triệu,"Nghĩa Tân, Cầu Giấy Hà Nội",Xe đã dùng,2023,Trong nước,Xăng 1.5 L,SUV,Số tự động,"8,888 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Toyota Fortuner 2.7V 4x4 AT	2014,399 Triệu,"Nghĩa Tân, Cầu Giấy Hà Nội",Xe đã dùng,2014,Trong nước,Xăng 2.7 L,SUV,Số tự động,"150,000 Km",4WD - Dẫn động 4 bánh,Đen,Kem,5 cửa,7 chỗ
Xe BMW X3 sDrive20i	2024,1 Tỷ 579 Triệu,Số 3 Nguyễn văn Linh- Long Biên-HN Hà Nội,Xe đã dùng,2024,Trong nước,Xăng 2.0 L,SUV,Số tự động,"25,000 Km",RFD - Dẫn động cầu sau,Xám,Nâu,5 cửa,5 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2022,889 Triệu,"900 Quốc lộ 1A, Phường Thạnh Xuân, Quận 12 TP HCM",Xe đã dùng,2022,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"99,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2020,835 Triệu,"900 Quốc lộ 1A, Phường Thạnh Xuân, Quận 12 TP HCM",Xe đã dùng,2020,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"98,000 Km",RFD - Dẫn động cầu sau,Trắng,Đen,5 cửa,7 chỗ
Xe Lexus LS 460L	2007,515 Triệu,Hà Nội Hà Nội,Xe đã dùng,2007,Nhập khẩu,Xăng 4.6 L,Sedan,Số tự động,"148,800 Km",RFD - Dẫn động cầu sau,Xám,Đen,4 cửa,5 chỗ
Xe Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt	2025,916 Triệu,"510 Ngọc Hồi, Thanh Trì Hà Nội",Xe mới,2025,Trong nước,Xăng 1.6 L,Crossover,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Đen,5 cửa,5 chỗ
Xe Mercedes Benz E class E250	2012,345 Triệu,Hà Nội Hà Nội,Xe đã dùng,2012,Trong nước,Xăng 1.8 L,Sedan,Số tự động,"120,000 Km",RFD - Dẫn động cầu sau,Đen,Kem,4 cửa,5 chỗ
Xe Ford Explorer Limited 2.3L EcoBoost	2021,1 Tỷ 750 Triệu,"900 Quốc lộ 1A, Phường Thạnh Xuân, Quận 12 TP HCM",Xe đã dùng,2021,Nhập khẩu,Xăng 2.3 L,SUV,Số tự động,"55,000 Km",AWD - 4 bánh toàn thời gian,Xanh,Đen,5 cửa,7 chỗ
Xe LandRover Range Rover Supercharged 5.0	2010,535 Triệu,Hà nội Hà Nội,Xe đã dùng,2010,Nhập khẩu,Xăng 5.0 L,SUV,Số tự động,"150,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,5 cửa,5 chỗ
Xe Ford Territory Titanium X 1.5 AT	2024,830 Triệu,"900 Quốc lộ 1A, Phường Thạnh Xuân, Quận 12 TP HCM",Xe đã dùng,2024,Trong nước,Xăng 1.5 L,SUV,Số tự động,"11,000 Km",FWD - Dẫn động cầu trước,Đỏ,Xanh,5 cửa,5 chỗ
Xe Mazda CX3 1.5 AT	2025,535 Triệu,Số 5 Nguyễn Khánh Toàn Hà Nội,Xe đã dùng,2025,Nhập khẩu,Xăng 1.5 L,Crossover,Số tự động,"9,300 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Ford Explorer Limited 2.3L EcoBoost	2021,1 Tỷ 580 Triệu,"161F Dạ Nam, Phường 03, Quận 8 TP HCM",Xe đã dùng,2021,Nhập khẩu,Xăng 2.3 L,SUV,Số tự động,"59,700 Km",AWD - 4 bánh toàn thời gian,Đen,Xám,5 cửa,7 chỗ
Xe Ford Transit Tiêu chuẩn	2024,699 Triệu,"161F Dạ Nam, Phường 03, Quận 8 TP HCM",Xe đã dùng,2024,Trong nước,Dầu 2.2 L,Van/Minivan,Số tay,"80,000 Km",RFD - Dẫn động cầu sau,Trắng,Xám,4 cửa,16 chỗ
Xe Chevrolet Colorado High Country 2.8L 4x4 AT	2017,429 Triệu,"đức thượng , hoài đức Hà Nội",Xe đã dùng,2017,Nhập khẩu,Dầu 2.8 L,Bán tải / Pickup,Số tự động,"110,000 Km",4WD - Dẫn động 4 bánh,Ghi,Đen,4 cửa,5 chỗ
Xe Toyota Veloz Cross Top 1.5 CVT	2025,542 Triệu,315 Trường Chinh - Thanh xuân Hà Nội,Xe mới,2025,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Mercedes Benz C class C300 AMG	2025,1 Tỷ 839 Triệu,"Số 3 - 5 Nguyễn Văn Linh, Long Biên Hà Nội",Xe mới,2025,Trong nước,Xăng 2.0 L,Sedan,Số tự động,-,RFD - Dẫn động cầu sau,Trắng,Nâu,4 cửa,5 chỗ
Xe Lexus RX 350	2009,675 Triệu,"79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội",Xe đã dùng,2009,Nhập khẩu,Xăng 3.5 L,SUV,Số tự động,"77,000 Km",FWD - Dẫn động cầu trước,Đỏ,Kem,5 cửa,5 chỗ
Xe Lexus RX 350	2017,2 Tỷ 299 Triệu,"79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội",Xe đã dùng,2017,Nhập khẩu,Xăng 3.5 L,SUV,Số tự động,"110,000 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Mercedes Benz GLC 200 4Matic	2020,1 Tỷ 299 Triệu,"79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội",Xe đã dùng,2020,Trong nước,Xăng 2.0 L,SUV,Số tự động,"52,000 Km",AWD - 4 bánh toàn thời gian,Đỏ,Kem,5 cửa,5 chỗ
Xe Volkswagen T-Cross Luxury 1.0 AT	2023,779 Triệu,"64 Vũ Đức Thận, Long Biên Hà Nội",Xe đã dùng,2023,Nhập khẩu,Xăng 1.0 L,Crossover,Số tự động,"5,000 Km",FWD - Dẫn động cầu trước,Trắng,Nhiều màu,5 cửa,5 chỗ
Xe Ford Everest Platinum 2.0L 4x4 AT	2025,1 Tỷ 545 Triệu,"Lô B1, Đường C2, Khu Công Nghiệp Cát Lái 2, P. Thạnh Mỹ Lợi, Quận 2 TP HCM",Xe mới,2025,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,-,4WD - Dẫn động 4 bánh,Đen,Đen,5 cửa,7 chỗ
Xe Toyota Corolla Cross 1.8HEV	2025,850 Triệu,315 Trường Chinh - Thanh xuân Hà Nội,Xe mới,2025,Nhập khẩu,Hybrid 1.8 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Mercedes Benz E class E300 AMG	2019,1 Tỷ 299 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2019,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"51,000 Km",RFD - Dẫn động cầu sau,Trắng,Nâu,4 cửa,5 chỗ
Xe Kia Carens 1.4T Signature 7S	2024,735 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2024,Trong nước,Xăng 1.4 L,SUV,Số tự động,"12,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2024,1 Tỷ 265 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2024,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"21,000 Km",RFD - Dẫn động cầu sau,Trắng,Đen,5 cửa,7 chỗ
Xe Kia Carnival Signature 2.2D	2021,1 Tỷ 165 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2021,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Mercedes Benz E class E400 AMG	2013,599 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2013,Trong nước,Xăng 3.0 L,Sedan,Số tự động,"49,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,4 cửa,5 chỗ
Xe VinFast Lux SA 2.0 Premium 2.0 AT	2019,580 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2019,Trong nước,Xăng 2.0 L,SUV,Số tự động,"73,000 Km",AWD - 4 bánh toàn thời gian,Đỏ,Nâu,5 cửa,7 chỗ
Xe Ford Territory Titanium X 1.5 AT	2024,830 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2024,Trong nước,Xăng 1.5 L,SUV,Số tự động,"15,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Hyundai Tucson 2.0 AT Đặc biệt	2022,789 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2022,Trong nước,Xăng 2.0 L,Crossover,Số tự động,"40,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Peugeot 2008 GT Line 1.2 AT	2023,640 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2023,Trong nước,Xăng 1.2 L,Crossover,Số tự động,-,FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Hyundai Tucson 2.0 AT Đặc biệt	2021,699 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2021,Trong nước,Xăng 2.0 L,Crossover,Số tự động,"52,000 Km",FWD - Dẫn động cầu trước,Đen,Kem,5 cửa,5 chỗ
Xe Suzuki Swift GLX 1.2 AT	2021,440 Triệu,03 Nguyễn Khánh Toàn- Cầu Giấy Hà Nội,Xe đã dùng,2021,Nhập khẩu,Xăng 1.2 L,Hatchback,Số tự động,"19,000 Km",FWD - Dẫn động cầu trước,Đỏ,Nâu,5 cửa,5 chỗ
Xe Ford Ranger Wildtrak 2.0L 4x4 AT	2025,894 Triệu,"161F Dạ Nam, Phường 03, Quận 8 TP HCM",Xe đã dùng,2025,Trong nước,Dầu 2.0 L,Bán tải / Pickup,Số tự động,"10,000 Km",4WD - Dẫn động 4 bánh,Vàng,Xám,4 cửa,5 chỗ
Xe Toyota Corolla Cross 1.8HEV	2025,850 Triệu,315 Trường Chinh - Thanh xuân Hà Nội,Xe mới,2025,Nhập khẩu,Hybrid 1.8 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,-,5 cửa,5 chỗ
Xe Mitsubishi Pajero Sport G 4x2 AT	2014,365 Triệu,"766/22 Quốc lộ 13, P. Hiệp Bình Phước, Q. Thủ Đức TP HCM",Xe đã dùng,2014,Trong nước,Xăng 3.0 L,SUV,Số tự động,-,RFD - Dẫn động cầu sau,Ghi,Đen,5 cửa,7 chỗ
Xe Peugeot 3008 GT	2022,775 Triệu,"Số 5 Nguyễn Khánh Toàn, P. Quan Hoa, Q. Cầu Giấy Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 1.6 L,Crossover,Số tự động,"5,000 Km",FWD - Dẫn động cầu trước,Vàng,Nâu,5 cửa,5 chỗ
Xe Kia Sedona 3.3 GAT Premium	2020,695 Triệu,TP. Thủ Đức TP HCM,Xe đã dùng,2020,Trong nước,Xăng 3.3 L,Van/Minivan,Số tự động,"42,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,5 cửa,7 chỗ
Xe BMW X6 xDrive40i M Sport	2022,2 Tỷ 988 Triệu,"số 1 Đường 13, KDC Phú Mỹ, P Tân Mỹ, TP HCM",Xe đã dùng,2022,Nhập khẩu,Xăng 3.0 L,SUV,Số tự động,"40,000 Km",AWD - 4 bánh toàn thời gian,Đỏ,Đen,5 cửa,5 chỗ
Xe Toyota Corolla Cross 1.8G	2021,615 Triệu,Cầu giấy Hà Nội,Xe đã dùng,2021,Nhập khẩu,Xăng 1.8 L,SUV,Số tự động,"80,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Porsche Panamera 3.6 V6	2016,1 Tỷ 588 Triệu,"số 1 Đường 13, KDC Phú Mỹ, P Tân Mỹ, TP HCM",Xe đã dùng,2016,Nhập khẩu,Xăng 3.6 L,Sedan,Số tự động,"69,000 Km",RFD - Dẫn động cầu sau,Trắng,Kem,4 cửa,4 chỗ
Xe Kia Carnival Signature 2.2D	2024,1 Tỷ 379 Triệu,317 Phạm Văn Đồng Hà Nội,Xe đã dùng,2024,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"30,000 Km",FWD - Dẫn động cầu trước,Xanh,Nhiều màu,5 cửa,7 chỗ
Xe Ford EcoSport Titanium Black 1.5L AT	2017,355 Triệu,"161F Dạ Nam, Phường 03, Quận 8 TP HCM",Xe đã dùng,2017,Trong nước,Xăng 1.5 L,SUV,Số tự động,"65,000 Km",FWD - Dẫn động cầu trước,Bạc,Xám,5 cửa,5 chỗ
Xe Mercedes Benz E class E200	2019,999 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2019,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"65,458 Km",RFD - Dẫn động cầu sau,Đỏ,Đen,4 cửa,5 chỗ
Xe Honda CRV L	2022,899 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2022,Trong nước,Xăng 1.5 L,SUV,Số tự động,"15,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,7 chỗ
Xe Honda Civic G 1.5 AT	2022,655 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,Sedan,Số tự động,"42,000 Km",FWD - Dẫn động cầu trước,Xanh,Đen,4 cửa,5 chỗ
Xe Honda City L 1.5 AT	2024,489 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2024,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"27,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Toyota Fortuner TRD Sportivo 4x2 AT	2016,535 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2016,Trong nước,Xăng 2.7 L,SUV,Số tự động,"89,000 Km",RFD - Dẫn động cầu sau,Trắng,Kem,5 cửa,7 chỗ
Xe Mercedes Benz GLC 300 4Matic	2022,1 Tỷ 699 Triệu,"196 Đường số 30, P.bình Trị Đông B, TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"39,800 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Mercedes Benz GLC 300 4Matic	2022,1 Tỷ 479 Triệu,"58 - 60 Phan Khiêm Ích, p. Tân Phong, Quận 7 TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"90,000 Km",AWD - 4 bánh toàn thời gian,Xám,Kem,5 cửa,5 chỗ
Xe Lexus LX 600 Urban	2025,8 Tỷ 590 Triệu,"Ngã tư Phạm Hùng & Dương Đình Nghệ, Nam Từ Liêm Hà Nội",Xe mới,2025,Nhập khẩu,Xăng 3.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Kem,5 cửa,7 chỗ
Xe BMW X4 xDrive20i M Sport	2023,2 Tỷ 399 Triệu,"Số 3 - 5 Nguyễn Văn Linh, Long Biên Hà Nội",Xe đã dùng,2023,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"14,000 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Toyota Camry 2.0Q	2025,1 Tỷ 60 Triệu,315 Trường Chinh - Thanh xuân Hà Nội,Xe mới,2025,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe VinFast Fadil 1.4 AT	2021,296 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2021,Trong nước,Xăng 1.4 L,Hatchback,Số tự động,"54,000 Km",FWD - Dẫn động cầu trước,Trắng,Ghi,5 cửa,5 chỗ
Xe Suzuki Swift GLX 1.2 AT	2019,399 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2019,Nhập khẩu,Xăng 1.2 L,Hatchback,Số tự động,"56,000 Km",FWD - Dẫn động cầu trước,Đỏ,Kem,5 cửa,5 chỗ
Xe Toyota Corolla altis 1.8V	2023,686 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2023,Nhập khẩu,Xăng 1.8 L,Sedan,Số tự động,"28,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,4 cửa,5 chỗ
Xe Kia Sonet Luxury 1.5 AT	2023,529 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2023,Trong nước,Xăng 1.5 L,Crossover,Số tự động,-,FWD - Dẫn động cầu trước,Đen,Ghi,5 cửa,5 chỗ
Xe Toyota Corolla altis 1.8G AT	2018,489 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2018,Trong nước,Xăng 1.8 L,Sedan,Số tự động,"88,000 Km",FWD - Dẫn động cầu trước,Đen,Kem,4 cửa,5 chỗ
Xe Mitsubishi Xpander Premium 1.5 AT	2022,528 Triệu,"Số 2 Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm Hà Nội",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Nâu,Đen,5 cửa,7 chỗ
Xe Hyundai Elantra 2.0 AT Cao cấp	2022,565 Triệu,"56 Vũ Đức Thận, Long Biên Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,Sedan,Số tự động,-,FWD - Dẫn động cầu trước,Đỏ,Đen,4 cửa,5 chỗ
Xe VinFast VF8 Eco AWD	2022,545 Triệu,"Số 207 Quán Gánh, Văn Giáp, Thường Tín Hà Nội",Xe đã dùng,2022,Trong nước,Điện,SUV,Số tự động,"6,322 Km",AWD - 4 bánh toàn thời gian,Đỏ,Đen,5 cửa,5 chỗ
Xe Hyundai Elantra 1.6 AT Đặc biệt	2024,596 Triệu,317 Phạm Văn Đồng Hà Nội,Xe đã dùng,2024,Trong nước,Xăng 1.6 L,Sedan,Số tự động,"26,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Lexus GS 350	2012,845 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2012,Nhập khẩu,Xăng 3.5 L,Sedan,Số tự động,"142,000 Km",RFD - Dẫn động cầu sau,Đen,Nâu,4 cửa,5 chỗ
Xe Suzuki XL7 1.5 AT	2022,390 Triệu,"thân nhân trung ,bích động ,việt yên ,bắc gia Bắc Giang",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"55,000 Km",FWD - Dẫn động cầu trước,Đỏ,-,5 cửa,7 chỗ
Xe Hyundai SantaFe Cao cấp 2.2L HTRAC	2021,895 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2021,Trong nước,Dầu 2.2 L,SUV,Số tự động,"63,000 Km",AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Kia Sonet Premium 1.5 AT	2022,515 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 1.5 L,Crossover,Số tự động,"38,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2024,1 Tỷ 235 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2024,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"30,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
Xe Hyundai Palisade Prestige 2.2 AT HTRAC	2023,1 Tỷ 368 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2023,Trong nước,Dầu 2.2 L,SUV,Số tự động,"20,000 Km",AWD - 4 bánh toàn thời gian,Đỏ,Đỏ,5 cửa,6 chỗ
Xe Mitsubishi Xforce Ultimate	2025,665 Triệu,"22 Giáp Hải, Long Biên Hà Nội",Xe đã dùng,2025,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,300 Km,FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Toyota Land Cruiser 3.5 V6	2025,4 Tỷ 580 Triệu,Hà Đông Hà Nội,Xe mới,2025,Nhập khẩu,Xăng 3.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Mercedes Benz GLC 200	2022,1 Tỷ 359 Triệu,"192-194-196 Đường 30, P.BTĐ B, Q.bình Tân TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"39,000 Km",RFD - Dẫn động cầu sau,Trắng,Đen,5 cửa,5 chỗ
Xe Mercedes Benz GLC 300 4Matic	2022,1 Tỷ 699 Triệu,"192-194-196 Đường số 30, Bình Trị Đông B, Bình Tân TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"39,000 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Kia Carnival Signature 2.2D	2022,1 Tỷ 179 Triệu,317 Phạm Văn Đồng Hà Nội,Xe đã dùng,2022,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"56,000 Km",FWD - Dẫn động cầu trước,Đen,Nhiều màu,5 cửa,7 chỗ
Xe Hyundai Stargazer Tiêu chuẩn 1.5 AT	2022,410 Triệu,Tân Phú TP HCM,Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,Van/Minivan,Số tự động,"81,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Ford Ranger Wildtrak 2.0L 4x4 AT	2018,580 Triệu,Ninh Bình Ninh Bình,Xe đã dùng,2018,Nhập khẩu,Dầu 2.0 L,Bán tải / Pickup,Số tự động,"130,000 Km",4WD - Dẫn động 4 bánh,Cam,Đen,4 cửa,5 chỗ
